clause title,document id,before text,after text,added text
Suspension of Service,39321,"If any charge owing by Customer is 30 days or more overdue, SFDC may, without limiting its other rights and remedies, suspend Services until such amounts are paid in full, provided that, other than for customers paying by credit card or direct debit and whose payment has been declined, SFDC has given Customer at least 10 days’ prior notice that its account is overdue in accordance with the “Notices” section below. ","If any charge owing by Customer is forty-five (45) days or more overdue, SFDC may, without limiting its other rights and remedies, suspend Services until such amounts are paid in full, provided that, other than for customers paying by credit card or direct debit and whose payment has been declined, SFDC has given Customer at least 10 days’ prior notice that its account is overdue in accordance with the “Notices” section below. ",
Termination,39321,"A party may terminate this Agreement for cause (i) upon 30 days written notice to the other party of a material breach if such breach remains uncured at the expiration of such period, or (ii) if the other party becomes the subject of a petition in bankruptcy or any other proceeding relating to insolvency, receivership, liquidation or assignment for the benefit of creditors. ","A party may terminate this Agreement (and all for cause (i) upon 30 days written notice to the other party of a material breach if such breach remains uncured at the expiration of such period, or (ii) if the other party becomes the subject of a petition in bankruptcy or any other proceeding relating to insolvency, receivership, liquidation or assignment for the benefit of creditors. ",
Data Security.,39321,"SFDC will maintain appropriate administrative, physical, and technical safeguards for protection of the security, confidentiality and integrity of Customer Data, as described in the Documentation. Those safeguards will include, but will not be limited to, measures designed to prevent unauthorized access to or disclosure of Customer Data (other than by Customer or Users). The terms of the data processing addendum at https://www.salesforce.co m/company/legal/agreements.jsp (""DPA"") are hereby incorporated by reference and shall apply to the extent Customer Data includes Personal Data, as defined in the DPA. To the extent Personal Data from the European Economic Area (EEA), the United Kingdom and Switzerland are processed by SFDC, its Processor Binding Corporate Rules, the EU-US and/or Swiss-US Privacy Shield, and/or the Standard Contractual Clauses shall apply, as further set forth in the DPA. For the purposes of the Standard Contractual Clauses, Customer and its applicable Affiliates are each the data exporter, and Customer's execution of this Agreement, and an applicable Affiliate's execution of an Order Form, shall be treated as its execution of the Standard Contractual Clauses and appendices. Upon request by Customer made within 30 days after the effective date of termination or expiration of this Agreement, SFDC will make Customer Data available to Customer for export or download as provided in the Documentation. After such 30-day period, SFDC will have no obligation to maintain or provide any Customer Data, and as provided in the Documentation will thereafter delete or destroy all copies of Customer Data in its systems or otherwise in its possession or control, unless legally prohibited. ","2.2.1  INSERT TAB Protection of Customer Data. SFDC will maintain appropriate administrative, physical, and technical safeguards for protection of the security, confidentiality and integrity of Customer Data, as described in the Documentation. Those safeguards will include, but will not be limited to, measures designed to prevent unauthorized access to or disclosure of Customer Data (other than by Customer or Users). The terms of the data processing addendum at https://www.salesforce.co m/company/legal/agreements.jsp (""DPA"") are hereby incorporated by reference and shall apply to the extent Customer Data includes Personal Data, as defined in the DPA. To the extent Personal Data from the European Economic Area (EEA), the United Kingdom and Switzerland are processed by SFDC, its Processor Binding Corporate Rules, the EU-US and/or Swiss-US Privacy Shield, and/or the Standard Contractual Clauses shall apply, as further set forth in the DPA. For the purposes of the Standard Contractual Clauses, Customer and its applicable Affiliates are each the data exporter, and Customer's execution of this Agreement, and an applicable Affiliate's execution of an Order Form, shall be treated as its execution of the Standard Contractual Clauses and appendices. Upon request by Customer made within 30 days after the effective date of termination or expiration of this Agreement, SFDC will make Customer Data available to Customer for export or download as provided in the Documentation. After such 30-day period, SFDC will have no obligation to maintain or provide any Customer Data, and as provided in the Documentation will thereafter delete or destroy all copies of Customer Data in its systems or otherwise in its possession or control, unless legally prohibited. SFDC agrees that its failure to abide by the requirements in the foregoing sentence will cause irreparable injury to Customer for which the remedy at law will be inadequate and would be difficult to ascertain and therefore, in the event of the breach or threatened breach of such provision, Customer shall be entitled, in addition to any other rights and remedies it may have, without the necessity of proof of actual damages, at law or in equity, to seek an injunction to restrain SFDC from any threatened or actual activities in violation of this Section. 2.2.2 Right to Audit Information Systems. If, during the life of this Agreement, SFDC requires access to Customer’s networks, applications, other information processing resources, information systems, switches, routers, firewalls, or other information technologies (“Information Systems”), SFDC agrees to submit to periodic compliance testing for a period and duration as determined solely by Customer. This periodic compliance testing consists of the right by Customer to audit SFDC’s Information Systems as deemed appropriate by Customer in order to assure that SFDC’s security posture does not adversely affect or degrade Customer’s information security posture. These audits may be performed by Customer or a third party contracted by Customer. INSERT TAB 2.2.3 Disclosure and Notification of Security Breaches. SFDC warrants that the information technology systems that are necessary for the provision of services (the “Service-Related IT Systems”) to Customer under this Agreement have not suffered any actual or reasonably suspected unauthorized access to or acquisition of any information maintained on the Service-Related IT Systems (each, a “Security Breach”). SFDC warrants that SFDC is not and has not been a party to any current, pending, threatened or resolved enforcement action of any government agency, or any consent decree or settlement with any governmental agency or private person or entity regarding any Security Breach or otherwise regarding data or information security. INSERT TAB  In any notification to Customer required under this Section, SFDC shall designate one or more individuals employed by SFDC who will be available to Customer as a contact regarding such Security Breach. SFDC shall (a) use commercially reasonable efforts to address and assist Customer with its reasonable concerns regarding such Security Breach and any dispute, inquiry or claim involving Customer that concerns such Security Breach; and (b) shall provide Customer with assurance reasonably satisfactory to Customer that reasonable steps have been taken to minimize and prevent the recurrence of similar Security Breaches. Taking into account the nature of processing and the information available to SFDC, upon Customer’s written request, SFDC shall provide reasonable cooperation to Customer in its notification of the Supervisory Authority and, if applicable, Data Subjects, as those terms are defined in the DPA.Unless prohibited by an applicable statute or court order, SFDC shall also notify Customer of any third-party legal process relating to any such Security Breach, including, but not limited to, any legal process initiated by any governmental entity (foreign or domestic). 2.2.4 Personnel Resources Due Diligence. With respect to access to Customer systems, SFDC will perform commercially reasonable due diligence to ensure the integrity of personnel resources assigned to perform the services set forth in this Agreement and to use commercially reasonable efforts to prevent malicious activities of SFDC personnel resources who are removed from performing services under this Agreement and remain employees of SFDC. SFDC will comply with the following personnel security policy requirements as part of this Agreement: (a) SFDC will disable orphan computer accounts within twenty-four (24) hours; and (b) SFDC will, in a commercially reasonable manner, proactively monitor the activities of SFDC employees performing services under this Agreement to reasonably protect Customer’s and its customers’ assets and reasonably identify fraudulent, suspicious or irregular activity. SFDC and its subcontractors approved by Customer will be required to adhere to Customer’s Information Technology Security Policy. Failure to adhere to Customer’s Information Technology Security Policy or any Customer information security standard will result in immediate termination of access. SFDC must complete a security assessment which must be reviewed and approved by Customer’s Information Security Compliance group prior to any connection to Customer’s systems. INSERT TAB ",
Indemnification by SFDC,39321,"SFDC will defend Customer against any claim, demand, suit or proceeding made or brought against Customer by a third party alleging that any Service infringes or misappropriates such third party’s intellectual property rightsor  (a “Claim Against Customer”), and will indemnify Customer from any damages, attorney fees and costs finally awarded against Customer as a result of, or for amounts paid by Customer under a settlement approved by SFDC in writing of, a Claim Against Customer, provided Customer (a) promptly gives SFDC written notice of the Claim Against Customer, (b) gives SFDC sole control of the defense and settlement of the Claim Against Customer (except that SFDC may not settle any Claim Against Customer unless it unconditionally releases Customer of all liability), and (c) gives SFDC all reasonable assistance, at SFDC’s expense. If SFDC receives information about an infringement or misappropriation claim related to a Service, SFDC may in its discretion and at no cost to Customer (i) modify the Services so that they are no longer claimed to infringe or misappropriate, without breaching SFDC’s warranties under “SFDC Warranties” above, (ii) obtain a license for Customer’s continued use of that Service in accordance with this Agreement, or (iii) terminate Customer’s subscriptions for  that Service upon 30 days’ written notice and refund Customer any prepaid fees covering the remainder of the term of the terminated subscriptions. The above defense and indemnification obligations do not apply if (1) the allegation does not state with specificity that the Services are the basis of the Claim Against Customer; (2) a Claim Against Customer arises from the use or combination of the Services or any part thereof with software, hardware, data, or processes not provided by SFDC, if the Services or use thereof would not infringe without such combination; (3) a Claim Against Customer arises from Services under an Order Form for which there is no charge; or (4) a Claim Against Customer arises from Content, a Non-SFDC Application or Customer’s breach of this Agreement, the Documentation or applicable Order Forms. ","SFDC will defend Customer and its Affiliates (collectively, the “Customer Indemnified Parties”) against any claim, demand, suit or proceeding made or brought against Customer Indemnified Party(ies) by a third party alleging that any Service infringes or misappropriates such third party’s intellectual property rightsor  (a “Claim Against Customer”), and will indemnify Customer Indemnified Parties from any damages, attorney fees and costs finally awarded against Customer Indemnified Parties as a result of, or for amounts paid by Customer Indemnified Parties under a settlement approved by SFDC in writing of, a Claim Against Customer, provided Customer Indemnified Parties: (a) promptly gives SFDC written notice of the Claim Against Customer, (b) gives SFDC sole control of the defense and settlement of the Claim Against Customer (except that SFDC may not settle any Claim Against Customer unless it unconditionally releases Customer of all liability), and (c) gives SFDC all reasonable assistance, at SFDC’s expense. If SFDC receives information about an infringement or misappropriation claim related to a Service, SFDC may in its discretion and at no cost to Customer Indemnified Parties: (i) modify the Services so that they are no longer claimed to infringe or misappropriate, without breaching SFDC’s warranties under “SFDC Warranties” above, (ii) obtain a license for Customer’s continued use of that Service in accordance with this Agreement, or (iii) terminate Customer’s subscriptions for  that Service upon 30 days’ written notice and refund Customer any prepaid fees covering the remainder of the term of the terminated subscriptions. The above defense and indemnification obligations do not apply if: (1) the allegation does not state with specificity that the Services are the basis of the Claim Against Customer; (2) a Claim Against Customer arises from the use or combination of the Services or any part thereof with software, hardware, data, or processes not provided by SFDC, if the Services or use thereof would not infringe without such combination; (3) a Claim Against Customer arises from Services under an Order Form for which there is no charge; or (4) a Claim Against Customer arises from Content, a Non-SFDC Application or Customer’s breach of this Agreement, the Documentation or applicable Order Forms. ",
Surviving Provisions,39321,"The sections titled “Fees and Payment,” “Proprietary Rights and Licenses,” “Confidentiality,” “Disclaimers,” “Mutual Indemnification,” “Limitation of Liability,” “Refund or Payment upon Termination,” “Removal of Content and Non-SFDC Applications,” “Surviving Provisions” and “General Provisions” will survive any termination orexpiration of this Agreement and the section titled “Protection of Customer Data” will survive any termination or expiration of this Agreement for so long as SFDC retains possession of Customer Data. ","The sections titled “Fees and Payment,” “Proprietary Rights and Licenses,” “Confidentiality,” “Disclaimers,” “Mutual Indemnification,” “Limitation of Liability,” “Refund or Payment upon Termination,” “Removal of Content and Non-SFDC Applications,” “Surviving Provisions” and “General Provisions” will survive any termination or expiration of this Agreement and the section titled “Protection of Customer Data” will survive any termination or expiration of this Agreement for so long as SFDC retains possession of Customer Data. ",
Provision of Services,39321,"SFDC will (a) make the Services and Content available to Customer pursuant to this Agreement, and the applicable Order Forms and Documentation, (b) provide applicable SFDC standard support for the Services to Customer at no additional charge, and/or upgraded support if purchased, (c) use commercially reasonable efforts to make the online Services available 24 hours a day, 7 days a week, except for: (i) planned downtime (of which SFDC shall give advance electronic notice), and (ii) any unavailability caused by circumstances beyond SFDC’s reasonable control, including, for example, an act of God, act of government, flood, fire, earthquake, civil unrest, act of terror, strike or other labor problem (other than one involving SFDC employees), Internet service provider failure or delay, Non-SFDC Application, or denial of service attack, and(d) provide the Services in accordance with laws and government regulations applicable to SFDC’s provision of its Services to its customers generally (i.e., without regard for Customer’s particular use of the Services), and subject to Customer’s use of the Services in accordance with this Agreement, the Documentation and the applicable Order Form. ","SFDC represents and warrants that it will (a) make the Services and Content available to Customer pursuant to this Agreement, and the applicable Order Forms and Documentation, (b) provide applicable SFDC standard support for the Services to Customer at no additional charge, and/or upgraded support if purchased, (c) use commercially reasonable efforts to make the online Services available 24 hours a day, 7 days a week, except for: (i) planned downtime (of which SFDC shall give advance electronic notice), and (ii) any unavailability caused by circumstances beyond SFDC’s reasonable control, including, for example, an act of God, act of government, flood, fire, earthquake, civil unrest, act of terror, strike or other labor problem (other than one involving SFDC employees), Internet service provider failure or delay, Non-SFDC Application, or denial of service attack, and (d) provide the Services in accordance with laws and government regulations applicable to SFDC’s provision of its Services to its customers generally (i.e., without regard for Customer’s particular use of the Services), and subject to Customer’s use of the Services in accordance with this Agreement, the Documentation and the applicable Order Form. ",
Refund or Payment upon Termination,39321,"If this Agreement is terminated by Customer in accordance with the “Termination” section above, SFDC will refund Customer any prepaid fees covering the remainder of the term of all Order Forms after the effective date of termination. If this Agreement is terminated by SFDC in accordance with the “Termination” section above, Customer will pay any unpaid fees covering the remainder of the term of all Order Forms to the extent permitted by applicable law. In no event will termination relieve Customer of its obligation to pay any fees payable to SFDC for the period prior to the effective date of termination. ","If this Agreement is terminated by Customer in accordance with the “Termination” section above, SFDC will refund Customer any prepaid fees covering the remainder of the term of all Order Forms after the effective date of termination. If this Agreement is terminated by Customer without cause, Customer will pay any unpaid fees covering the remainder of the term of all Order Forms to the extent permitted by applicable law. In no event will termination relieve Customer of its obligation to pay any fees payable to SFDC for the period prior to the effective date of termination. ",
Suspension of Service,40746,"Subject to Section 5.5 (Payment Disputes),If any charge owing by Customer is 30 days or more overdue, SFDC may, without limiting its other rights and remedies, suspend Services until such amounts are paid in full, provided that, other than for customers paying by credit card or direct debit and whose payment has been declined, SFDC has given Customer at least 10 days’ prior writtenor electronicnotice that its account is overdue in accordance with the “Notices” section below. ","Subject to Section 5.5 (Payment Disputes),If any charge owing by Customer is 30 days or more overdue, SFDC may, without limiting its other rights and remedies, suspend Services until such amounts are paid in full, provided that, other than for customers paying by credit card or direct debit and whose payment has been declined, SFDC has given Customer at least 10 days’ prior writtenor electronic notice in accordance with this Agreement that its account is overdue in accordance with the “Notices” section below. ",
Indemnification by SFDC,40746,"SFDC will defend Customer against any claim, demand, suit or proceeding made or brought against Customer by a third party alleging that any Service infringes or misappropriates such third party’s intellectual property rights (a “Claim Against Customer”), and will indemnify Customer from any damages, attorney fees and costs finally awarded against Customer as a result of, or for amounts paid by Customer under a settlement approved by SFDC in writing of, a Claim Against Customer, provided Customer (a) promptly gives SFDC written notice of the Claim Against Customer, (b) gives SFDC sole control of the defense and settlement of the Claim Against Customer (except that SFDC may not settle any Claim Against Customer unless it unconditionally releases Customer of all liability), and (c) gives SFDC all reasonable assistance, at SFDC’s expense. If SFDC receives information about an infringement or misappropriation claim related to a Service, SFDC may in its discretion and at no cost to Customer (i) modify the Services so that they are no longer claimed to infringe or misappropriate, without breaching SFDC’s warranties under “SFDC Warranties” above, (ii) obtain a license for Customer’s continued use of that Service in accordance with this Agreement, or (iii) terminate Customer’s subscriptions for that Service upon 30 days’ written notice and refund Customer any prepaid fees covering the remainder of the term of the terminated subscriptions. The above defense and indemnification obligations do not apply if (1) the allegation does not state with specificity that the Services are the basis of the Claim Against Customer; (2) a Claim Against Customer arises from the use or combination of the Services or any part thereof with software, hardware, data, or processes not provided by SFDC, if the Services or use thereof would not infringe without such combination; (3) a Claim Against Customer arises from Services under an Order Form for which there is no charge; or (4) a Claim Against Customer arises from Content, a Non-SFDC Application or Customer’s breach of this Agreement, the Documentation or applicable Order Forms. ","SFDC will defend Customer against any claim, demand, suit or proceeding made or brought against Customer by a third party arising from the Servjces provided by SFDC, including without limitation alleging that any Service infringes or misappropriates such third party’s intellectual property rights (a “Claim Against Customer”), and will indemnify Customer from any damages, attorney fees and costs finally awarded against Customer as a result of, or for amounts paid by Customer under a settlement approved by SFDC in writing of, a Claim Against Customer, provided Customer (a) promptly gives SFDC written notice of the Claim Against Customer, (b) gives SFDC sole control of the defense and settlement of the Claim Against Customer (except that SFDC may not settle any Claim Against Customer unless it unconditionally releases Customer of all liability), and (c) gives SFDC all reasonable assistance, at SFDC’s expense. If SFDC receives information about an infringement or misappropriation claim related to a Service, SFDC may in its discretion and at no cost to Customer (i) modify the Services so that they are no longer claimed to infringe or misappropriate, without breaching SFDC’s warranties under “SFDC Warranties” above, (ii) obtain a license for Customer’s continued use of that Service in accordance with this Agreement, or (iii) terminate Customer’s subscriptions for that Service upon 30 days’ written notice and refund Customer any prepaid fees covering the remainder of the term of the terminated subscriptions. The above defense and indemnification obligations do not apply to the extent a Claim Against Customer arises from the use or combination of the Services or any part thereof with software, hardware, data, or processes not provided by SFDC, if the Services or use thereof would not infringe without such combination; or a Claim Against Customer arises from Content, a Non-SFDC Application or Customer’s breach of this Agreement, of the Documentation or of applicable Order Forms. ",
Limitation of Liability,40746,"EXCEPT FOR (A) AMOUNTS PAYABLE UNDER A PARTYS INDEMNIFICATION OBLIGATIONS UNDER SECTION 9 OF THIS AGREEMENT (MUTUAL INDEMNIFICATION), (B) DAMAGES RESULTING FROM A PARTYS GROSS NEGLIGENCE OR WILLFUL MISCONDUCT, OR (C) DAMAGES ARISING FROM BREACHES OF A PARTYS OBLIGATIONS OF CONFIDENTIALITY UNDER SECTION 7 HEREUNDER RESULTING IN THE UNAUTHORIZED DISCLOSURE OF CONFIDENTIAL INFORMATION, FOR WHICH THE AGGREGATE LIABILITY HEREUNDER OF EACH PARTY TOGETHER WITH ALL OF ITS AFFILIATES SHALL NOT EXCEED THE THE TOTAL AMOUNT PAID BY CUSTOMER AND ITS AFFILIATES HEREUNDER FOR THE SERVICES GIVING RISE TO THE LIABILITY IN THE 18 MONTHS PRECEDING THE FIRST INCIDENT OUT OF WHICH THE LIABILITY AROSE,IN NO EVENT SHALL THE AGGREGATE LIABILITY OF EACH PARTY TOGETHER WITH ALL OF ITS AFFILIATES ARISING OUT OF OR RELATED TO THIS AGREEMENT EXCEED THE TOTAL AMOUNT PAID BY CUSTOMER AND ITS AFFILIATES HEREUNDER FOR THE SERVICES GIVING RISE TO THE LIABILITY IN THE TWELVE MONTHS PRECEDING THE FIRST INCIDENT OUT OF WHICH THE LIABILITY AROSE. THE FOREGOING LIMITATION WILL APPLY WHETHER AN ACTION IS IN CONTRACT OR TORT AND REGARDLESS OF THE THEORY OF LIABILITY, BUT WILL NOT LIMIT CUSTOMER'S AND ITS AFFILIATES’ PAYMENT OBLIGATIONS UNDER THE “FEES AND PAYMENT” SECTION ABOVE. ","EXCEPT FOR (A) AMOUNTS PAYABLE UNDER A PARTYS INDEMNIFICATION OBLIGATIONS UNDER SECTION 9 OF THIS AGREEMENT (MUTUAL INDEMNIFICATION), (B) DAMAGES RESULTING FROM A PARTYS GROSS NEGLIGENCE OR WILLFUL MISCONDUCT, OR (C) DAMAGES ARISING FROM BREACHES OF A PARTYS OBLIGATIONS OF CONFIDENTIALITY UNDER SECTION 7 HEREUNDER RESULTING IN THE UNAUTHORIZED DISCLOSURE OF CONFIDENTIAL INFORMATION, FOR WHICH THE AGGREGATE LIABILITY HEREUNDER OF EACH PARTY SHALL NOT EXCEED THE GREATER OF ONE MILLION DOLLARS ($1,000,000) OR THE TOTAL AMOUNT PAID BY CUSTOMER AND ITS AFFILIATES HEREUNDER FOR THE SERVICES GIVING RISE TO THE LIABILITY IN THE EIGHTEEN18 MONTHS PRECEDING THE FIRST INCIDENT OUT OF WHICH THE LIABILITY AROSE,IN NO EVENT SHALL THE AGGREGATE LIABILITY OF EACH PARTY TOGETHER WITH ALL OF ITS AFFILIATES ARISING OUT OF OR RELATED TO THIS AGREEMENT EXCEED THE GREATER OF FIFTY THOUSAND DOLLARS ($50,000) OR THE TOTAL AMOUNT PAID BY CUSTOMER AND ITS AFFILIATES HEREUNDER FOR THE SERVICES GIVING RISE TO THE LIABILITY IN THE TWELVE MONTHS PRECEDING THE FIRST INCIDENT OUT OF WHICH THE LIABILITY AROSE. THE FOREGOING LIMITATION WILL APPLY WHETHER AN ACTION IS IN CONTRACT OR TORT AND REGARDLESS OF THE THEORY OF LIABILITY, BUT WILL NOT LIMIT CUSTOMER'S AND ITS AFFILIATES’ PAYMENT OBLIGATIONS UNDER THE “FEES AND PAYMENT” SECTION ABOVE (WHICH SHALL BE CAPPED AT THE FEES DUE), NOR EITHER PARTY’S LIABILITY FOR ITS INDEMNIFICATION OBLIGATIONS, BREACH OF CONFIDENTIALITY, GROSS NEGLIGENCE, OR WILLFUL MISCONDUCT . ",
Provision of Services,40746,"SFDC will (a) make the Services and Content available to Customer pursuant to this Agreement, and the applicable Order Forms and Documentation, (b) provide applicable SFDC standard support for the Services to Customer at no additional charge, and/or upgraded support if purchased, (c) use commercially reasonable efforts to make the online Services available 24 hours a day, 7 days a week, except for: (i) planned downtime (of which SFDC shall give advance electronic notice), and (ii) any unavailability caused by circumstances beyond SFDC’s reasonable control, including, for example, an act of God, act of government, flood, fire, earthquake, civil unrest, act of terror, strike or other labor problem (other than one involving SFDC employees), Internet service provider failure or delay, Non-SFDC Application, or denial of service attack, and (d) provide the Services in accordance with laws and government regulations applicable to SFDC’s provision of its Services to its customers generally (i.e., without regard for Customer’s particular use of the Services), and subject to Customer’s use of the Services in accordance with this Agreement, the Documentation and the applicable Order Form . ","SFDC will (a) make the Services and Content available to Customer pursuant to this Agreement, and the applicable Order Forms and Documentation, (b) provide applicable SFDC standard support for the Services to Customer at no additional charge, and/or upgraded support if purchased, (c) make the online Services available 24 hours a day, 7 days a week, except for: (i) planned downtime (of which SFDC shall give advance electronic notice, and which shall not exceed two (2) hours per month, and not during normal business hours E.T.), and (ii) any unavailability caused by circumstances beyond SFDC’s reasonable control, including, for example, an act of God, act of government, flood, fire, earthquake, civil unrest, act of terror, strike or other labor problem (other than one involving SFDC employees), Internet service provider failure or delay, or denial of service attack, and (d) provide the Services in accordance with laws and government regulations applicable to SFDC’s provision of its Services to its customers generally (i.e., without regard for Customer’s particular use of the Services). ",
Protection of Confidential Information,40746,"As between the parties, each party retains all ownership rights in and to its Confidential Information. The Receiving Party will use the same degree of care that it uses to protect the confidentiality of its own confidential information of like kind (but not less than reasonable care) to (i) not use any Confidential Information of the Disclosing Party for any purpose outside the scope of this Agreement and (ii) except as otherwise authorized by the Disclosing Party in writing, limit access to Confidential Information of the Disclosing Party to those of its and its Affiliatesemployees and contractors who need that access for purposes consistent with this Agreement and who have signed confidentiality agreements with the Receiving Party containing protections not materially less protective of the Confidential Information than those herein. Neither party will disclose the terms of this Agreement or any Order Form to any third party other than its Affiliates, legal counsel and accountants without the other party’s prior written consent, provided that a party that makes any such disclosure to its Affiliate, legal counsel or accountants will remain responsible for such Affiliate’s, legal counsel’s or accountant’s compliance with this “Confidentiality” section. Notwithstanding  the  foregoing, SFDC may disclose the terms of this Agreement and any applicable Order Form to a subcontractor or Non-SFDC Application Provider to the extent necessary to perform its obligations under this Agreement, under terms of confidentiality materially as protective as set forth herein. ","As between the parties, each party retains all ownership rights in and to its Confidential Information. The Receiving Party will use the same degree of care that it uses to protect the confidentiality of its own confidential information of like kind (but not less than reasonable care) to (i) not use any Confidential Information of the Disclosing Party for any purpose outside the scope of this Agreement and (ii) except as otherwise authorized by the Disclosing Party in writing, limit access to Confidential Information of the Disclosing Party to those of its and its Affiliates’ employees and contractors who need that access for purposes consistent with this Agreement and who have signed confidentiality agreements with the Receiving Party containing protections not materially less protective of the Confidential Information than those herein. Neither party will disclose the terms of this Agreement or any Order Form to any third party other than its Affiliates, legal counsel and accountants without the other party’s prior written consent, provided that a party that makes any such disclosure to its Affiliate, legal counsel or accountants will remain responsible for such Affiliate’s, legal counsel’s or accountant’s compliance with this “Confidentiality” section. Notwithstanding  the  foregoing, either party may disclose the terms of this Agreement and any applicable Order Form to a subcontractor or Non-SFDC Application Provider to the extent necessary to perform its obligations under this Agreement, under terms of confidentiality materially as protective as set forth herein. ",
Compelled Disclosure,40746,"The Receiving Party may disclose Confidential Information of the Disclosing Party to the extent compelled by law to do so, provided the Receiving Party gives the Disclosing Party prior notice of the compelled disclosure (to the extent legally permitted) and reasonable assistance, at the Disclosing Party's cost, if the Disclosing Party wishes to contest the disclosure. If the Receiving Party is compelled by law to disclose the Disclosing Party’s Confidential Information as part of a civil proceeding to which the Disclosing Party is a party, and the Disclosing Party is not contesting the disclosure, the Disclosing Party will reimburse the Receiving Party for its reasonable cost of compiling and providing secure access to that Confidential Information. ","The Receiving Party may disclose Confidential Information of the Disclosing Party to the extent compelled by law to do so, provided the Receiving Party gives the Disclosing Party prior notice of the compelled disclosure (to the extent legally permitted) and reasonable assistance, at the Disclosing Party's cost, if the Disclosing Party wishes to contest the disclosure. If the Receiving Party is compelled by law to disclose the Disclosing Party’s Confidential Information as part of a civil proceeding to which the Disclosing Party is a party, and the Disclosing Party is not contesting the disclosure, the Disclosing Party will work in good faith with the Receiving Party with respect to reimbursing e the Receiving Party for its reasonable cost of compiling and providing secure access to that Confidential Information. ",
Protection of Customer Data,40746,"SFDC will maintain appropriate administrative, physical, and technical safeguards for protection of the security, confidentiality and integrity of Customer Data, as described in the Documentation. Those safeguards will include, but will not be limited to, measures designed to prevent unauthorized access to or disclosure of Customer Data (other than by Customer or Users). The terms of the data processing addendum at https://www.salesforce.com/company/legal/agreements.jsp (""DPA"") are hereby incorporated by reference and shall apply to the extent Customer Data includes Personal Data, as defined in the DPA. To the extent Personal Data from the European Economic Area (EEA), the United Kingdom and Switzerland are processed by SFDC, its Processor Binding Corporate Rules, the EU-US and/or Swiss-US Privacy Shield, and/or the Standard Contractual Clauses shall apply, as further set forth in the DPA. For the purposes of the Standard Contractual Clauses, Customer and its applicable Affiliates are each the data exporter, and Customer's execution of this Agreement, and an applicable Affiliate's execution of an Order Form, shall be treated as its execution of the Standard Contractual Clauses and appendices. Upon request by Customer made within 30 days after the effective date of termination or expiration of this Agreement, SFDC will make Customer Data available to Customer for export or download as provided in the Documentation. After such 30-day period, SFDC will have no obligation to maintain or provide any Customer Data, and as provided in the Documentation will thereafter delete or destroy all copies of Customer Data in its systems or otherwise in its possession or control, unless legally prohibited. ","SFDC will maintain adequate and appropriate administrative, physical, and technical safeguards for protection of the security, confidentiality and integrity of Customer Data, as described in the Documentation. Those safeguards will include, but will not be limited to, measures designed to prevent unauthorized access to or disclosure of Customer Data (other than by Customer or Users). The terms of the data processing addendum at https://www.salesforce.com/company/legal/agreements.jsp (""DPA"") are hereby incorporated by reference and shall apply to the extent Customer Data includes Personal Data, as defined in the DPA. To the extent Personal Data from the European Economic Area (EEA), the United Kingdom and Switzerland are processed by SFDC, its Processor Binding Corporate Rules, the EU-US and/or Swiss-US Privacy Shield, and/or the Standard Contractual Clauses shall apply, as further set forth in the DPA. For the purposes of the Standard Contractual Clauses, Customer and its applicable Affiliates are each the data exporter, and Customer's execution of this Agreement, and an applicable Affiliate's execution of an Order Form, shall be treated as its execution of the Standard Contractual Clauses and appendices. Upon request by Customer made within 180 days after the effective date of termination or expiration of this Agreement, SFDC will make Customer Data available to Customer for export or download as provided in the Documentation. After such 30180 -day period, SFDC will have no obligation to maintain or provide any Customer Data, and as provided in the Documentation will thereafter delete or destroy all copies of Customer Data in its systems or otherwise in its possession or control, unless legally prohibited. ",
Term of Subscriptions,40746,"The term of each subscription shall be as specified in the applicable Order Form. Subscriptions shall not automatically renew. The per-unit pricing during any renewal term will increase by up to 7% above the applicable pricing in the prior term, unless SFDC provides Customer notice of different pricing at least 60 days prior to the applicable renewal term.Except as expressly provided in the applicable Order Form, renewal of promotional or one-time priced subscriptions will be at SFDCs applicable list price in effect at the time of the applicable renewal. Notwithstanding anything to the contrary, any renewal in which subscription volume for any Services has decreased from the prior term will result inre-pricingat renewal without regard for the prior terms per-unit pricing. ","The term of each subscription shall be as specified in the applicable Order Form. Subscriptions shall not automatically renew. The per-unit pricing during any renewal term will increase by up to 7% above the applicable pricing in the prior term, unless SFDC provides Customer notice of different pricing at least 60 days prior to the applicable renewal term.Except as expressly provided in the applicable Order Form, renewal of promotional or one-time priced subscriptions may be at SFDCs applicable list price in effect at the time of the applicable renewal. Notwithstanding anything to the contrary, any renewal in which subscription volume for any Services has decreased from the prior term may result inre-pricingat renewal without regard for the prior terms per-unit pricing. ",
License by Customer to Use Feedback,40746,"Customer grants to SFDC and its Affiliates a worldwide, perpetual, irrevocable, royalty-free license to use and incorporate into its services any suggestion, enhancement request, recommendation, correction or other feedback provided by Customer relating to the ervices. ","Customer grants to SFDC and its Affiliates a worldwide, perpetual, irrevocable, royalty-free license to use and incorporate into its services any suggestion, enhancement request, recommendation, correction or other feedback provided by Customer relating to the S ervices. ",
